model	row_id	language	marker_text	foil_marker_text	gold_logprob_mean	foil_logprob_mean	gold_logprob_sum	foil_logprob_sum	gold_tokens	foil_tokens	delta_mean	gold_preferred	polarity	evidence	marker_morphosyntax
gpt2	modal_0997	French	quand j'ai voulu regarder	si tu as vu	-3.560341120122537	-3.74454703113635	-234.98251392808743	-232.1619159304537	66.0	62.0	0.18420591101381278	True	positive	situated	lexicon_adverb
gpt2	modal_1002	French	peut-être	mon avis	-2.8440209151556095	-3.8138187043368816	-42.66031372733414	-49.57964315637946	15.0	13.0	0.9697977891812721	True	neutral	inferential	lexicon_adverb
gpt2	modal_1009	French	selon lui	si tu as vu	-2.880319815501571	-4.3493714608590714	-28.803198155015707	-47.84308606944978	10.0	11.0	1.4690516453575007	True	positive	no_evidence	lexicon_adverb
gpt2	modal_1010	French	selon lui	peut-être	-3.9011998425580954	-3.549545331671834	-74.12279700860381	-70.99090663343668	19.0	20.0	-0.3516545108862612	False	positive	no_evidence	lexicon_adverb
gpt2	modal_1018	French	pour moi	effectivement	-3.266212490547834	-3.3717213398111716	-94.72016222588718	-94.40819751471281	29.0	28.0	0.10550884926333781	True	positive	no_evidence	lexicon_adverb
gpt2	modal_1020	French	selon Olivier Carré	oh bah sans doute	-3.9805552982958035	-6.569985906283061	-19.902776491479017	-39.419915437698364	5.0	6.0	2.5894306079872575	True	positive	reported	lexicon_adverb
gpt2	modal_1027	French	évidemment	à mon avis	-4.708441488444805	-4.6134863331913945	-94.1688297688961	-92.2697266638279	20.0	20.0	-0.0949551552534107	False	positive	no_evidence	lexicon_adverb
gpt2	modal_1030	French	peut-être	si tu as vu	-2.699238767498173	-3.757292659720406	-64.78173041995615	-90.17502383328974	24.0	24.0	1.0580538922222331	True	positive	no_evidence	lexicon_adverb
gpt2	modal_1032	French	peut-être	pour dire	-3.5995142138204894	-4.457917674728062	-93.58736955933273	-102.53210651874542	26.0	23.0	0.8584034609075726	True	positive	no_evidence	lexicon_adverb
gpt2	modal_1057	French	absolument	à mon avis	-4.932835102081299	-5.5795838832855225	-14.798505306243896	-22.31833553314209	3.0	4.0	0.6467487812042236	True	positive	no_evidence	lexicon_adverb
gpt2	modal_1067	French	comme euh euh tu le disais	peut-être	-4.1887209159662815	-3.7309057804134986	-171.73755755461752	-134.31260809488595	41.0	36.0	-0.45781513555278286	False	positive	reported	lexicon_adverb
gpt2	modal_1093	French	franchement	oh bah sans doute	-4.990201475098729	-5.045447926772268	-79.84322360157967	-95.8635106086731	16.0	19.0	0.05524645167353892	True	positive	no_evidence	lexicon_adverb
gpt2	modal_1099	French	pour vous	peut-être	-2.740025262037913	-1.8628903388977052	-8.220075786113739	-9.314451694488525	3.0	5.0	-0.8771349231402077	False	neutral	no_evidence	lexicon_adverb
gpt2	modal_1115	French	peut-être	pour vous	-3.0068104454715336	-4.911400243639946	-21.047673118300736	-24.55700121819973	7.0	5.0	1.9045897981684123	True	positive	no_evidence	lexicon_adverb
gpt2	modal_1129	French	vraiment	peut-être	-4.99978835384051	-4.232505952141115	-59.99746024608612	-59.255083329975605	12.0	14.0	-0.7672824016993953	False	positive	no_evidence	lexicon_adverb
gpt2	modal_1137	French	mon avis	oh bah sans doute	-6.207100868225098	-6.637025329801771	-37.242605209350586	-59.73322796821594	6.0	9.0	0.4299244615766735	True	positive	no_evidence	lexicon_adverb
gpt2	modal_1143	French	peut-être	forcément	-2.8468652412827526	-5.508112454414368	-19.928056688979268	-27.54056227207184	7.0	5.0	2.6612472131316154	True	positive	no_evidence	lexicon_adverb
gpt2	modal_1147	French	exactement	à mon avis	-7.209944009780884	-4.850981116294861	-14.419888019561768	-19.403924465179443	2.0	4.0	-2.358962893486023	False	positive	no_evidence	lexicon_adverb
gpt2	modal_1148	French	exactement	forcément	-6.529220640659332	-6.065336008866628	-13.058441281318665	-18.196008026599884	2.0	3.0	-0.46388463179270456	False	positive	no_evidence	lexicon_adverb
gpt2	modal_1160	French	comme disait Bertrand	absolument	-4.226715542376041	-4.554148077964783	-25.36029325425625	-13.662444233894348	6.0	3.0	0.3274325355887413	True	positive	reported	lexicon_adverb
gpt2	modal_1179	French	peut-être	pour dire	-1.4548829920589923	-6.143963575363159	-7.274414960294962	-12.287927150726318	5.0	2.0	4.689080583304166	True	positive	no_evidence	lexicon_adverb
gpt2	modal_1180	French	peut-être	vraiment	-0.5059577954933048	-4.445560455322266	-2.5297889774665236	-13.336681365966797	5.0	3.0	3.939602659828961	True	neutral	no_evidence	lexicon_adverb
gpt2	modal_1193	French	peut-être	vraiment	-3.556786148844041	-3.7295672403758062	-188.50966588873416	-190.20792925916612	53.0	51.0	0.17278109153176535	True	neutral	no_evidence	lexicon_adverb
gpt2	modal_1205	French	comme disait Bertrand	exactement	-5.703529079134266	-7.101986289024353	-34.22117447480559	-14.203972578048706	6.0	2.0	1.3984572098900871	True	positive	reported	lexicon_adverb
gpt2	modal_1260	French	à chaque fois	tout à fait	-4.171734267736182	-3.8052074481897495	-70.9194825515151	-64.68852661922574	17.0	17.0	-0.36652681954643285	False	positive	reported	lexicon_adverb
gpt2	modal_1290	French	vraiment	absolument	-4.986297082901001	-5.674647486209869	-24.931485414505005	-28.373237431049347	5.0	5.0	0.6883504033088679	True	positive	inferential	lexicon_adverb
gpt2	modal_1299	French	peut-être	selon lui	-2.8490482795123873	-3.587851425011953	-37.03762763366103	-43.05421710014343	13.0	12.0	0.7388031454995656	True	neutral	inferential	lexicon_adverb
gpt2	modal_1308	French	vraiment	oh bah sans doute	-3.49656944308016	-4.36405445422445	-62.938249975442886	-91.64514353871346	18.0	21.0	0.8674850111442902	True	positive	no_evidence	lexicon_adverb
gpt2	modal_1335	French	peut-être	selon lui	-2.599531809488932	-4.44253990650177	-15.597190856933594	-22.21269953250885	6.0	5.0	1.8430080970128375	True	positive	inferential	lexicon_adverb
gpt2	modal_1367	French	oh bah sans doute	selon Olivier Carré	-5.353369211157163	-7.205034399032593	-32.12021526694298	-36.025171995162964	6.0	5.0	1.8516651878754304	True	negative	no_evidence	lexicon_adverb
gpt2	modal_1369	French	peut-être	tout à fait	-2.8702336916361344	-4.006118787960573	-31.572570607997477	-44.0673066675663	11.0	11.0	1.1358850963244387	True	positive	inferential	lexicon_adverb
gpt2	modal_1387	French	exactement	peut-être	-3.966700662113726	-1.620821614342276	-19.83350331056863	-12.966572914738208	5.0	8.0	-2.34587904777145	False	positive	no_evidence	lexicon_adverb
gpt2	modal_1498	French	pour dire	peut-être	-3.2051952129436865	-3.034370814711509	-173.08054149895906	-172.95913643855602	54.0	57.0	-0.17082439823217754	False	positive	reported	lexicon_adverb
gpt2	modal_1515	French	tout à fait	franchement	-3.1820840716361998	-7.652736663818359	-15.910420358181	-22.958209991455078	5.0	3.0	4.47065259218216	True	positive	no_evidence	lexicon_adverb
gpt2	modal_1525	French	peut-être	pour dire	-3.3236149396322183	-3.8496687183214817	-76.44314361154102	-76.99337436642963	23.0	20.0	0.5260537786892634	True	positive	inferential	lexicon_adverb
gpt2	modal_1526	French	éventuellement	exactement	-5.673296391963959	-7.236121654510498	-22.693185567855835	-14.472243309020996	4.0	2.0	1.5628252625465393	True	positive	inferential	lexicon_adverb
gpt2	modal_1576	French	forcément	pour vous	-3.0558616208533445	-3.1650263207654157	-36.670339450240135	-37.98031584918499	12.0	12.0	0.10916469991207123	True	positive	inferential	lexicon_adverb
gpt2	modal_1616	French	comme tu le croyais	oh bah sans doute	-5.005866585299373	-6.83277694384257	-35.04106609709561	-40.99666166305542	7.0	6.0	1.8269103585431976	True	positive	reported	lexicon_adverb
gpt2	modal_1618	French	peut-être	selon lui	-2.9527422050860794	-3.8727643951773643	-32.480164255946875	-38.72764395177364	11.0	10.0	0.9200221900912848	True	positive	inferential	lexicon_adverb
gpt2	modal_1624	French	si tu as vu	à mes yeux	-6.150894737243652	-5.592685068026185	-30.75447368621826	-22.37074027210474	5.0	4.0	-0.558209669217467	False	neutral	situated	lexicon_adverb
gpt2	modal_1626	French	à mon avis	évidemment	-5.340690371394158	-5.363887096196413	-53.406903713941574	-53.63887096196413	10.0	10.0	0.023196724802255098	True	positive	inferential	lexicon_adverb
gpt2	modal_1756	French	à mon avis	franchement	-5.593945072756873	-5.9064887054264545	-50.34550565481186	-47.251909643411636	9.0	8.0	0.3125436326695814	True	positive	inferential	lexicon_adverb
gpt2	modal_1955	French	franchement	oh bah sans doute	-5.635985553264618	-5.543097629266627	-78.90379774570465	-94.23265969753265	14.0	17.0	-0.09288792399799117	False	positive	inferential	lexicon_adverb
gpt2	modal_2005	French	franchement	tout à fait	-5.028580453246832	-3.506691227853298	-40.228643625974655	-35.06691227853298	8.0	10.0	-1.5218892253935339	False	positive	inferential	lexicon_adverb
gpt2	modal_2007	French	à mon avis	exactement	-3.9571172044302028	-4.001434982127439	-59.35675806645304	-52.0186547676567	15.0	13.0	0.04431777769723588	True	positive	inferential	lexicon_adverb
gpt2	modal_2011	French	à mon avis	absolument	-3.835166633274639	-4.258404206124045	-122.72533226478845	-132.01053038984537	32.0	31.0	0.42323757284940555	True	positive	inferential	lexicon_adverb
gpt2	modal_2032	French	apparemment	peut-être	-5.699549198150635	-2.0313452377915384	-22.79819679260254	-10.156726188957691	4.0	5.0	-3.6682039603590963	False	positive	inferential	lexicon_adverb
gpt2	modal_2109	Italian	in effetti	forse	-4.169442472979426	-4.476045007291048	-100.06661935150623	-102.94903516769409	24.0	23.0	0.30660253431162143	True	positive	no_evidence	lexicon_adverbial
gpt2	modal_2145	Italian	come diceva prima lei	forse	-7.000560981886728	-5.581577658653259	-49.00392687320709	-11.163155317306519	7.0	2.0	-1.4189833232334683	False	positive	reported	lexicon_adverbial
gpt2	modal_2149	Italian	forse	come diceva prima lei	-5.347581045194105	-4.239490160252899	-58.82339149713516	-67.83184256404638	11.0	16.0	-1.1080908849412063	False	neutral	inferential	lexicon_adverbial
gpt2	modal_2151	Italian	forse	in realta'	-3.9902536869049072	-5.1961656510829926	-7.9805073738098145	-20.78466260433197	2.0	4.0	1.2059119641780853	True	neutral	inferential	lexicon_adverbial
gpt2	modal_2154	Italian	se devo dire la verita'	forse	-4.484190137684346	-4.5928662440606525	-89.6838027536869	-64.30012741684914	20.0	14.0	0.10867610637630687	True	positive	reported	lexicon_adverbial
gpt2	modal_2167	Italian	se non sbaglio	forse	-4.2595365788130195	-3.855073913399662	-72.41212183982134	-53.97103478759527	17.0	14.0	-0.4044626654133574	False	positive	no_evidence	lexicon_adverbial
gpt2	modal_2171	Italian	in realta'	forse	-6.032898664474487	-5.5605504512786865	-24.13159465789795	-11.121100902557373	4.0	2.0	-0.4723482131958008	False	positive	no_evidence	lexicon_adverbial
gpt2	modal_2173	Italian	in realta'	probabilmente	-3.2953497341109648	-4.205240761240323	-29.658147606998682	-37.84716685116291	9.0	9.0	0.9098910271293583	True	positive	no_evidence	lexicon_adverbial
gpt2	modal_2174	Italian	in realta'	come diceva prima lei	-4.071195089329894	-5.420715544372797	-52.92553616128862	-86.73144870996475	13.0	16.0	1.349520455042903	True	positive	no_evidence	lexicon_adverbial
gpt2	modal_2193	Italian	forse	in realta'	-5.907198222478231	-5.971654681598439	-88.60797333717346	-101.51812958717346	15.0	17.0	0.06445645912020836	True	neutral	inferential	lexicon_adverbial
gpt2	modal_2201	Italian	come sa	magari	-7.2465105056762695	-8.4311203956604	-14.493021011352539	-16.8622407913208	2.0	2.0	1.1846098899841309	True	positive	no_evidence	lexicon_adverbial
gpt2	modal_2226	Italian	forse	secondo me	-5.320330023765564	-5.388168062482562	-31.921980142593384	-37.71717643737793	6.0	7.0	0.06783803871699767	True	neutral	inferential	lexicon_adverbial
gpt2	modal_2246	Italian	forse	secondo me	-4.934297733836704	-4.959026050567627	-44.408679604530334	-49.59026050567627	9.0	10.0	0.024728316730922906	True	neutral	inferential	lexicon_adverbial
gpt2	modal_2248	Italian	evidentemente	in realta'	-7.342573742071788	-6.639613032341003	-22.027721226215363	-26.558452129364014	3.0	4.0	-0.7029607097307844	False	positive	inferential	lexicon_adverbial
gpt2	modal_2363	Italian	forse	come sa	-5.634304761886597	-7.602267503738403	-11.268609523773193	-15.204535007476807	2.0	2.0	1.9679627418518066	True	neutral	inferential	lexicon_adverbial
gpt2	modal_2365	Italian	testualmente	forse	-4.32538736593966	-4.248606363187719	-285.47556615201756	-271.910807244014	66.0	64.0	-0.07678100275194133	False	positive	reported	lexicon_adverbial
gpt2	modal_2368	Italian	probabilmente	secondo me	-5.2759987977998595	-6.376817166805267	-36.93199158459902	-38.260903000831604	7.0	6.0	1.1008183690054079	True	neutral	inferential	lexicon_adverbial
gpt2	modal_2371	Italian	in realta'	forse	-4.993703936275683	-4.8572403595728035	-94.88037478923798	-82.57308611273766	19.0	17.0	-0.13646357670287923	False	positive	no_evidence	lexicon_adverbial
gpt2	modal_2389	Italian	forse	probabilmente	-6.163821995258331	-5.724021843075752	-49.31057596206665	-57.24021843075752	8.0	10.0	-0.4398001521825794	False	neutral	no_evidence	lexicon_adverbial
gpt2	modal_2469	Italian	probabilmente	magari	-4.033682316541672	-4.82737410068512	-32.269458532333374	-28.964244604110718	8.0	6.0	0.7936917841434479	True	positive	inferential	lexicon_adverbial
gpt2	modal_2518	Italian	forse	come diceva prima lei	-4.105576364323497	-4.927654229849577	-41.05576364323497	-73.91481344774365	10.0	15.0	0.8220778655260803	True	neutral	no_evidence	lexicon_adverbial
gpt2	modal_2525	Italian	conoscendo il tipo	forse	-5.502627696309771	-6.416101932525635	-38.518393874168396	-12.83220386505127	7.0	2.0	0.9134742362158637	True	positive	no_evidence	lexicon_adverbial
gpt2	modal_2539	Italian	veramente	forse	-5.552153984705607	-6.463473081588745	-16.65646195411682	-12.92694616317749	3.0	2.0	0.9113190968831377	True	positive	no_evidence	lexicon_adverbial
gpt2	modal_2570	Italian	magari	come diceva prima lei	-5.983493804931641	-5.905560140098844	-53.851444244384766	-82.67784196138382	9.0	14.0	-0.07793366483279662	False	neutral	no_evidence	lexicon_adverbial
gpt2	modal_2598	Italian	magari	come sa	-5.811745357513428	-5.482135462760925	-58.11745357513428	-54.82135462760925	10.0	10.0	-0.3296098947525028	False	neutral	no_evidence	lexicon_adverbial
gpt2	modal_2616	Italian	secondo me	forse	-4.7668356935183205	-4.51854050478765	-71.50253540277481	-63.25956706702709	15.0	14.0	-0.2482951887306708	False	positive	no_evidence	lexicon_adverbial
gpt2	modal_2629	Italian	se chiedi a XYZ	magari	-5.403808684910045	-5.906280279159546	-91.86474764347076	-70.87536334991455	17.0	12.0	0.502471594249501	True	positive	reported	lexicon_adverbial
gpt2	modal_2653	Italian	secondo me	in realta'	-5.827372800220143	-5.965208142995834	-64.10110080242157	-71.58249771595001	11.0	12.0	0.13783534277569132	True	positive	no_evidence	lexicon_adverbial
gpt2	modal_2655	Italian	secondo me	come diceva prima lei	-5.06361697614193	-5.580324351787567	-101.27233952283859	-133.9277844429016	20.0	24.0	0.5167073756456375	True	positive	no_evidence	lexicon_adverbial
gpt2	modal_2732	Italian	magari	veramente	-4.7430542558431625	-4.187162239781835	-47.430542558431625	-46.05878463760018	10.0	11.0	-0.5558920160613274	False	positive	inferential	lexicon_adverbial
gpt2	modal_2749	Italian	secondo me	magari	-5.432247472660882	-6.17630903995954	-76.05146461725235	-80.29201751947403	14.0	13.0	0.7440615672986581	True	positive	no_evidence	lexicon_adverbial
gpt2	modal_2779	Italian	secondo te	probabilmente	-5.9360582033793134	-4.833873003721237	-17.80817461013794	-19.33549201488495	3.0	4.0	-1.1021851996580763	False	positive	no_evidence	lexicon_adverbial
gpt2	modal_2780	Italian	secondo me	magari	-3.4507490301674064	-4.151144590973854	-37.95823933184147	-41.51144590973854	11.0	10.0	0.7003955608064478	True	positive	no_evidence	lexicon_adverbial
gpt2	modal_2782	Italian	a dir la verita'	forse	-5.663085381189982	-6.3137853145599365	-33.97851228713989	-12.627570629119873	6.0	2.0	0.6506999333699541	True	positive	no_evidence	lexicon_adverbial
gpt2	modal_2804	Italian	magari	in realta'	-6.045697723116193	-5.528514093822903	-42.319884061813354	-49.75662684440613	7.0	9.0	-0.5171836292932905	False	neutral	no_evidence	lexicon_adverbial
gpt2	modal_2818	Italian	secondo me	forse	-4.535418197745457	-4.486124546715507	-126.9917095368728	-121.12536276131868	28.0	27.0	-0.049293651029950425	False	positive	no_evidence	lexicon_adverbial
EleutherAI/gpt-neo-125M	modal_0000	English	maybe	probably	-3.592677195866903	-4.25769038995107	-21.556063175201416	-25.54614233970642	6.0	6.0	0.665013194084167	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0029	English	probably	apparently	-2.4798384588211775	-3.403765616938472	-19.83870767056942	-27.230124935507774	8.0	8.0	0.9239271581172943	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0032	English	as you know	in ef]fect	-3.9531944479261125	-5.765776868909597	-55.344722270965576	-92.25242990255356	14.0	16.0	1.8125824209834849	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0037	English	apparently	possibly	-9.747055053710938	-10.226364135742188	-9.747055053710938	-10.226364135742188	1.0	1.0	0.47930908203125	True	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0040	English	obviously	in ef]fect	-5.594909906387329	-7.827790816624959	-11.189819812774658	-46.966744899749756	2.0	6.0	2.23288091023763	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0041	English	apparently	probably	-5.441460405077253	-5.261646747589111	-38.09022283554077	-36.83152723312378	7.0	7.0	-0.1798136574881415	False	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0062	English	probably	possibly	-4.155802488327026	-6.5765604972839355	-8.311604976654053	-13.153120994567871	2.0	2.0	2.420758008956909	True	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0082	English	apparently	probably	-4.4354600779091315	-4.459748907369518	-93.14466163609177	-93.65472705475986	21.0	21.0	0.02428882946038602	True	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0090	English	apparently	probably	-3.38442599773407	-3.3210005164146423	-33.8442599773407	-33.21000516414642	10.0	10.0	-0.06342548131942749	False	positive	reported	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0094	English	maybe	basically	-2.651013900836309	-3.5282256603240967	-15.906083405017853	-21.16935396194458	6.0	6.0	0.8772117594877877	True	positive	situated	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0106	English	basically	probab	-4.53626786952927	-5.0905913250012835	-95.26162526011467	-111.99300915002823	21.0	22.0	0.5543234554720131	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0107	English	maybe	probably	-3.895766009135466	-3.9272994692406713	-74.01955417357385	-74.61868991557276	19.0	19.0	0.031533460105205524	True	positive	situated	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0123	English	basically	like you say	-2.9713199149495373	-3.002721872093389	-101.02487710828427	-108.097987395362	34.0	36.0	0.03140195714385152	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0214	English	probab	maybe	-8.310768604278564	-7.291332244873047	-16.62153720855713	-7.291332244873047	2.0	1.0	-1.0194363594055176	False	positive	inferential	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0281	English	Maybe	probab	-4.950187683105469	-8.18121588230133	-14.850563049316406	-32.72486352920532	3.0	4.0	3.231028199195862	True	positive	no_evidence	lexicon_adverb
EleutherAI/gpt-neo-125M	modal_0451	English	unless I'm wrong	basically	-4.235286706565496	-4.321160358376801	-71.99987401161343	-60.496245017275214	17.0	14.0	0.0858736518113048	True	positive	inferential	lexicon_adverb
